188;"8e";"KAB";"AL";"K03";1;5;;
188;"8e";"KAB";"AL";"K03";2;3;;
188;"8e";"KAB";"AL";"K03";4;4;;
188;"8e";"KAB";"AL";"K03";5;5;;
188;"8e";"KAB";"AL";"K03";5;6;;
192;"8by";"NED";"E";"K04";3;2;;
192;"8by";"NED";"E";"K04";3;3;;
192;"8by";"NED";"E";"K04";5;6;;
193;"8e";"SAL";"Ph";"NWL";2;7;;
193;"8e";"SAL";"Ph";"NWL";3;8;;
194;"8b";"SAL";"AM";"K04";1;3;;
194;"8b";"SAL";"AM";"K04";2;3;;
194;"8b";"SAL";"AM";"K04";3;1;;
194;"8b";"SAL";"AM";"K04";4;5;;
196;"8e";"SAL";"AM";"K03";2;2;;
196;"8e";"SAL";"AM";"K03";3;7;;
196;"8e";"SAL";"AM";"K03";4;1;;
196;"8e";"SAL";"AM";"K03";5;4;;
197;"8a";"FAJ";"Ph";"NWL";2;9;;
197;"8a";"FAJ";"Ph";"K13";4;7;;
198;"8b";"PRL";"Ph";"K04";2;1;;
198;"8b";"PRL";"Ph";"NWL";4;1;;
200;"8e";"CEG";"Bio";"NWL";2;4;;
200;"8e";"CEG";"Bio";"NWL";4;7;;
201;"8e";"CEG";"BCH";"NWL";3;9;;
202;"8e";"TAF";"H-AL";"K03";2;5;;
202;"8e";"TAF";"H-AL";"K03";5;1;;
203;"8e";"TAF";"GG-AL";"K03";2;1;;
203;"8e";"TAF";"GG-AL";"K03";3;1;;
205;"2ad";"ZHN";"BSPK";"BSPK";3;5;;
205;"2ad";"ZHN";"BSPK";"BSPK";3;6;;
205;"2av";"GJA";"BSPM";"BSPM";3;5;;
205;"2av";"GJA";"BSPM";"BSPM";3;6;;
209;"2by";"ALB";"ITP2";"SW1";5;1;;
209;"2by";"ALB";"ITP2";"SW1";5;2;;
217;"4a";"KUA";"SEW";"K21";5;2;;
219;"7a";"MEI";"AL";"K01";1;4;;
219;"7a";"MEI";"AL";"K01";1;5;;
219;"7a";"MEI";"AL";"K01";2;5;;
219;"7a";"MEI";"AL";"K01";3;3;;
219;"7a";"MEI";"AL";"K01";4;7;;
220;"7a";"TAF";"GG-AL";"K01";3;8;;
220;"7a";"TAF";"GG-AL";"K01";4;8;;
221;"7a";"TAF";"H-AL";"K01";3;4;;
221;"7a";"TAF";"H-AL";"K01";4;5;;
222;"7a";"LEM";"ME";"K01";2;4;;
223;"7a";"PRL";"AM";"K01";1;1;;
223;"7a";"PRL";"AM";"K01";2;2;;
223;"7a";"PRL";"AM";"K01";3;7;;
223;"7a";"PRL";"AM";"K01";4;9;;
224;"7a";"CEG";"Bio";"K01";1;7;;
224;"7a";"CEG";"Bio";"NWL";2;1;;
224;"7a";"CEG";"Bio";"NWL";3;5;;
224;"7a";"CEG";"Bio";"K01";4;10;;
225;"7ax";"SCR";"D";"K13";3;1;;
225;"7ax";"SCR";"D";"K13";3;2;;
225;"7ax";"SCR";"D";"K01";4;3;;
225;"7ax";"SCR";"D";"K01";4;4;;
226;"7ax";"LEM";"D";"HW2";1;2;;
226;"7ax";"LEM";"D";"HW2";1;3;;
226;"7ax";"LEM";"D";"HW2";5;1;;
226;"7ax";"LEM";"D";"HW2";5;2;;
227;"7ax";"SCR";"SBK";"K02";1;8;;
228;"7ax";"NED";"E";"K12";2;3;;
228;"7ax";"NED";"E";"K01";4;1;;
228;"7ax";"NED";"E";"K01";4;2;;
229;"7ax";"KAE";"SYT";"SW2";5;3;;
229;"7ax";"KAE";"SYT";"SW2";5;4;;
230;"7ay";"LEM";"D";"K01";3;1;;
230;"7ay";"LEM";"D";"K01";3;2;;
230;"7ay";"LEM";"D";"K21";4;1;;
230;"7ay";"LEM";"D";"K21";4;2;;
231;"7ay";"AIT";"D";"K01";1;2;;
231;"7ay";"AIT";"D";"K01";1;3;;
231;"7ay";"AIT";"D";"K01";5;3;;
231;"7ay";"AIT";"D";"K01";5;4;;
232;"7ay";"AIT";"SBK";"K01";2;3;;
233;"7ay";"NED";"E";"K01";1;8;;
233;"7ay";"NED";"E";"K04";5;1;;
233;"7ay";"NED";"E";"K04";5;2;;
234;"7ay";"KAE";"SYT";"SW2";4;3;;
234;"7ay";"KAE";"SYT";"SW2";4;4;;
235;"7b";"MEI";"AL";"K02";1;7;;
235;"7b";"MEI";"AL";"K02";2;1;;
235;"7b";"MEI";"AL";"K02";2;2;;
235;"7b";"MEI";"AL";"K02";4;3;;
235;"7b";"MEI";"AL";"K02";5;2;;
236;"7b";"TAF";"H-AL";"K02";2;3;;
236;"7b";"TAF";"H-AL";"K02";4;4;;
237;"7b";"TAF";"GG-AL";"K02";1;4;;
237;"7b";"TAF";"GG-AL";"K02";3;5;;
238;"7b";"PRL";"AM";"K02";1;3;;
238;"7b";"PRL";"AM";"K02";3;4;;
238;"7b";"PRL";"AM";"K02";4;2;;
238;"7b";"PRL";"AM";"K02";5;1;;
239;"7b";"CEG";"Bio";"NWL";1;8;;
239;"7b";"CEG";"Bio";"NWL";1;9;;
239;"7b";"CEG";"Bio";"NWL";3;3;;
239;"7b";"CEG";"Bio";"NWL";4;5;;
240;"7bx";"SCR";"D";"SW2";1;1;;
240;"7bx";"SCR";"D";"SW2";1;2;;
240;"7bx";"SCR";"D";"K02";5;3;;
240;"7bx";"SCR";"D";"K02";5;4;;
241;"7bx";"SUB";"D";"K02";2;7;;
241;"7bx";"SUB";"D";"K02";2;8;;
241;"7bx";"SUB";"D";"K02";3;1;;
241;"7bx";"SUB";"D";"K02";3;2;;
242;"7bx";"SCR";"SBK";"K02";1;5;;
243;"7bx";"GIC";"E";"K02";2;4;;
243;"7bx";"GIC";"E";"K02";2;5;;
243;"7bx";"GIC";"E";"K04";4;1;;
244;"7bx";"KAE";"SYT";"SW2";4;7;;
244;"7bx";"KAE";"SYT";"SW2";4;8;;
245;"7ad";"ZHN";"BSPK";"BSPK";2;7;;
245;"7ad";"ZHN";"BSPK";"BSPK";2;8;;
246;"7av";"GJA";"BSPM";"BSPM";5;5;;
246;"7av";"GJA";"BSPM";"BSPM";5;6;;
246;"7bv";"GJA";"BSPM";"BSPM";5;5;;
246;"7bv";"GJA";"BSPM";"BSPM";5;6;;
246;"7cv";"GJA";"BSPM";"BSPM";5;5;;
246;"7cv";"GJA";"BSPM";"BSPM";5;6;;
246;"7bd";"ZHN";"BSPK";"BSPK";5;5;;
246;"7bd";"ZHN";"BSPK";"BSPK";5;6;;
246;;;;"BSPM";5;5;;
246;;;;"BSPM";5;6;;
246;;;;"BSPK";5;5;;
246;;;;"BSPK";5;6;;
247;"8ax";"SCR";"SBK";"K13";1;7;;
248;"8ax";"KAE";"SYT";"SW2";1;5;;
248;"8ax";"KAE";"SYT";"SW2";4;1;;
248;"8ax";"KAE";"SYT";"SW2";4;2;;
249;"8ay";"HEK";"SBK";"K11";1;7;;
250;"8ay";"TAG";"SYT";"SW1";2;2;;
250;"8ay";"TAG";"SYT";"SW1";2;3;;
250;"8ay";"TAG";"SYT";"SW1";4;1;;
251;"8bx";"HEK";"D";"K04";1;1;;
251;"8bx";"HEK";"D";"K04";1;2;;
251;"8bx";"HEK";"D";"K04";2;7;;
251;"8bx";"HEK";"D";"K12";3;2;;
251;"8bx";"HEK";"D";"K12";3;3;;
252;"8bx";"HEK";"SBK";"K04";2;8;;
253;"8bx";"TAG";"SYT";"SW1";1;4;;
253;"8bx";"TAG";"SYT";"SW1";1;5;;
253;"8bx";"TAG";"SYT";"SW1";5;4;;
254;"8by";"AIT";"D";"K04";1;4;;
254;"8by";"AIT";"D";"K04";1;5;;
254;"8by";"AIT";"D";"K01";2;7;;
254;"8by";"AIT";"D";"K04";3;5;;
254;"8by";"AIT";"D";"K21";4;3;;
255;"8by";"AIT";"SBK";"K01";2;8;;
256;"8by";"TAG";"SYT";"SW1";1;1;;
256;"8by";"TAG";"SYT";"SW1";1;2;;
256;"8by";"TAG";"SYT";"SW1";4;4;;
257;"9ax";"KAF";"SYT";"HW3";1;3;;
257;"9ax";"KAF";"SYT";"HW3";1;4;;
258;"9ax";"PLH";"MED2";"HW1";4;4;;
258;"9ax";"PLH";"MED2";"HW1";4;5;;
259;"9ay";"KAF";"SYT";"HW3";5;3;;
259;"9ay";"KAF";"SYT";"HW3";5;4;;
261;"9ay";"PLH";"MED2";"SW2";3;4;;
261;"9ay";"PLH";"MED2";"SW2";3;5;;
263;"9bx";"PLH";"MED2";"SW2";3;9;;
263;"9bx";"PLH";"MED2";"SW2";3;10;;
264;"9bx";"KAF";"SYT";"HW3";3;2;;
264;"9bx";"KAF";"SYT";"HW3";3;3;;
265;"9by";"KAF";"SYT";"HW3";3;9;;
265;"9by";"KAF";"SYT";"HW3";3;10;;
266;"9by";"PLH";"MED2";"SW2";3;2;;
266;"9by";"PLH";"MED2";"SW2";3;3;;
267;"8ex";"OFM";"D";"K25";1;2;;
267;"8ex";"OFM";"D";"K03";3;2;;
267;"8ex";"OFM";"D";"K03";3;3;;
267;"8ex";"OFM";"D";"K03";5;2;;
267;"8ex";"OFM";"D";"K03";5;3;;
268;"8ex";"OFM";"SBK";"K25";1;1;;
269;"8ex";"GIC";"E";"SW2";1;3;;
269;"8ex";"GIC";"E";"SW2";1;4;;
